instance,algorithm,run,elapsed_ns,macroitems
random_n40000_rho0.6_strongly-corr_seed0.pcf,hfma,0,39195608,3103
random_n40000_rho0.6_strongly-corr_seed0.pcf,dhfma,0,38233376,3103
random_n40000_rho0.6_strongly-corr_seed0.pcf,hfma,1,37971738,3103
random_n40000_rho0.6_strongly-corr_seed0.pcf,dhfma,1,37622617,3103
random_n40000_rho0.6_strongly-corr_seed0.pcf,hfma,2,38538406,3103
random_n40000_rho0.6_strongly-corr_seed0.pcf,dhfma,2,38512625,3103
random_n40000_rho0.6_uncorr_seed0.pcf,hfma,0,43598873,26606
random_n40000_rho0.6_uncorr_seed0.pcf,dhfma,0,43028240,26606
random_n40000_rho0.6_uncorr_seed0.pcf,hfma,1,40968711,26606
random_n40000_rho0.6_uncorr_seed0.pcf,dhfma,1,41703944,26606
random_n40000_rho0.6_uncorr_seed0.pcf,hfma,2,40721828,26606
random_n40000_rho0.6_uncorr_seed0.pcf,dhfma,2,42833648,26606
random_n50000_rho0.3_strongly-corr_seed0.pcf,hfma,0,20938883,2457
random_n50000_rho0.3_strongly-corr_seed0.pcf,dhfma,0,20606661,2457
random_n50000_rho0.3_strongly-corr_seed0.pcf,hfma,1,20145897,2457
random_n50000_rho0.3_strongly-corr_seed0.pcf,dhfma,1,20340873,2457
random_n50000_rho0.3_strongly-corr_seed0.pcf,hfma,2,20594658,2457
random_n50000_rho0.3_strongly-corr_seed0.pcf,dhfma,2,20298510,2457
random_n50000_rho0.3_uncorr_seed0.pcf,hfma,0,23756346,39259
random_n50000_rho0.3_uncorr_seed0.pcf,dhfma,0,25420469,39259
random_n50000_rho0.3_uncorr_seed0.pcf,hfma,1,21632413,39259
random_n50000_rho0.3_uncorr_seed0.pcf,dhfma,1,23765049,39259
random_n50000_rho0.3_uncorr_seed0.pcf,hfma,2,21029942,39259
random_n50000_rho0.3_uncorr_seed0.pcf,dhfma,2,23923971,39259
random_n50000_rho0.6_strongly-corr_seed0.pcf,hfma,0,49151259,3373
random_n50000_rho0.6_strongly-corr_seed0.pcf,dhfma,0,47732973,3373
random_n50000_rho0.6_strongly-corr_seed0.pcf,hfma,1,49123574,3373
random_n50000_rho0.6_strongly-corr_seed0.pcf,dhfma,1,48245029,3373
random_n50000_rho0.6_strongly-corr_seed0.pcf,hfma,2,48110518,3373
random_n50000_rho0.6_strongly-corr_seed0.pcf,dhfma,2,48035997,3373
random_n50000_rho0.6_uncorr_seed0.pcf,hfma,0,53572773,32902
random_n50000_rho0.6_uncorr_seed0.pcf,dhfma,0,54832406,32902
random_n50000_rho0.6_uncorr_seed0.pcf,hfma,1,52066465,32902
random_n50000_rho0.6_uncorr_seed0.pcf,dhfma,1,54450041,32902
random_n50000_rho0.6_uncorr_seed0.pcf,hfma,2,51416020,32902
random_n50000_rho0.6_uncorr_seed0.pcf,dhfma,2,55183660,32902
random_n60000_rho0.3_strongly-corr_seed0.pcf,hfma,0,28162252,2609
random_n60000_rho0.3_strongly-corr_seed0.pcf,dhfma,0,25191417,2609
random_n60000_rho0.3_strongly-corr_seed0.pcf,hfma,1,25549779,2609
random_n60000_rho0.3_strongly-corr_seed0.pcf,dhfma,1,25601015,2609
random_n60000_rho0.3_strongly-corr_seed0.pcf,hfma,2,25089502,2609
random_n60000_rho0.3_strongly-corr_seed0.pcf,dhfma,2,24896313,2609
random_n60000_rho0.3_uncorr_seed0.pcf,hfma,0,28624076,46489
random_n60000_rho0.3_uncorr_seed0.pcf,dhfma,0,30819874,46489
random_n60000_rho0.3_uncorr_seed0.pcf,hfma,1,25579577,46489
random_n60000_rho0.3_uncorr_seed0.pcf,dhfma,1,28366574,46489
random_n60000_rho0.3_uncorr_seed0.pcf,hfma,2,25854535,46489
random_n60000_rho0.3_uncorr_seed0.pcf,dhfma,2,28405832,46489
random_n60000_rho0.6_strongly-corr_seed0.pcf,hfma,0,60227408,3598
random_n60000_rho0.6_strongly-corr_seed0.pcf,dhfma,0,60048793,3598
random_n60000_rho0.6_strongly-corr_seed0.pcf,hfma,1,59640882,3598
random_n60000_rho0.6_strongly-corr_seed0.pcf,dhfma,1,60536052,3598
random_n60000_rho0.6_strongly-corr_seed0.pcf,hfma,2,62292131,3598
random_n60000_rho0.6_strongly-corr_seed0.pcf,dhfma,2,63740634,3598
random_n60000_rho0.6_uncorr_seed0.pcf,hfma,0,63353946,39121
random_n60000_rho0.6_uncorr_seed0.pcf,dhfma,0,64562557,39121
random_n60000_rho0.6_uncorr_seed0.pcf,hfma,1,62429551,39121
random_n60000_rho0.6_uncorr_seed0.pcf,dhfma,1,65255152,39121
random_n60000_rho0.6_uncorr_seed0.pcf,hfma,2,60738772,39121
random_n60000_rho0.6_uncorr_seed0.pcf,dhfma,2,63730283,39121
random_n70000_rho0.3_strongly-corr_seed0.pcf,hfma,0,29918563,2696
random_n70000_rho0.3_strongly-corr_seed0.pcf,dhfma,0,28893408,2696
random_n70000_rho0.3_strongly-corr_seed0.pcf,hfma,1,28907689,2696
random_n70000_rho0.3_strongly-corr_seed0.pcf,dhfma,1,29221715,2696
random_n70000_rho0.3_strongly-corr_seed0.pcf,hfma,2,28855117,2696
random_n70000_rho0.3_strongly-corr_seed0.pcf,dhfma,2,29875512,2696
random_n70000_rho0.3_uncorr_seed0.pcf,hfma,0,33814911,53753
random_n70000_rho0.3_uncorr_seed0.pcf,dhfma,0,35940057,53753
random_n70000_rho0.3_uncorr_seed0.pcf,hfma,1,30949212,53753
random_n70000_rho0.3_uncorr_seed0.pcf,dhfma,1,33866389,53753
random_n70000_rho0.3_uncorr_seed0.pcf,hfma,2,30866718,53753
random_n70000_rho0.3_uncorr_seed0.pcf,dhfma,2,34644814,53753
random_n70000_rho0.6_strongly-corr_seed0.pcf,hfma,0,72642703,3852
random_n70000_rho0.6_strongly-corr_seed0.pcf,dhfma,0,72224964,3852
random_n70000_rho0.6_strongly-corr_seed0.pcf,hfma,1,71106196,3852
random_n70000_rho0.6_strongly-corr_seed0.pcf,dhfma,1,71589098,3852
random_n70000_rho0.6_strongly-corr_seed0.pcf,hfma,2,69734801,3852
random_n70000_rho0.6_strongly-corr_seed0.pcf,dhfma,2,70856347,3852
random_n70000_rho0.6_uncorr_seed0.pcf,hfma,0,77608822,45129
random_n70000_rho0.6_uncorr_seed0.pcf,dhfma,0,80054189,45129
random_n70000_rho0.6_uncorr_seed0.pcf,hfma,1,75461456,45129
random_n70000_rho0.6_uncorr_seed0.pcf,dhfma,1,79194747,45129
random_n70000_rho0.6_uncorr_seed0.pcf,hfma,2,75561280,45129
random_n70000_rho0.6_uncorr_seed0.pcf,dhfma,2,79026548,45129
random_n80000_rho0.3_strongly-corr_seed0.pcf,hfma,0,38317516,2874
random_n80000_rho0.3_strongly-corr_seed0.pcf,dhfma,0,34336458,2874
random_n80000_rho0.3_strongly-corr_seed0.pcf,hfma,1,32460679,2874
random_n80000_rho0.3_strongly-corr_seed0.pcf,dhfma,1,33413902,2874
