campaign_id,instance,algorithm,repetitions,median_elapsed_ns,iqr_elapsed_ns,median_peak_rss_kib,n_nodes,n_arcs,n_components,n_layers,n_breakpoints,correctness_status,git_commit,topology,coefficient_class,rho,seed
campaign_b,gen_n1000_rho0.3_correlated_seed0.pcf,dhpac,11,374569.0,4612.0,13920.0,1000,273,727,862,861,agreed,2c83e501f034,mixed-forest,correlated,0.3,0
campaign_b,gen_n1000_rho0.3_correlated_seed0.pcf,dpac,11,2211661.0,28708.0,13920.0,1000,273,727,862,861,agreed,2c83e501f034,mixed-forest,correlated,0.3,0
campaign_b,gen_n1000_rho0.3_correlated_seed0.pcf,hpac,11,305626.0,2988.5,14080.0,1000,273,727,862,861,agreed,2c83e501f034,mixed-forest,correlated,0.3,0
campaign_b,gen_n1000_rho0.3_correlated_seed0.pcf,pac,11,2015582.0,27709.5,14080.0,1000,273,727,862,861,agreed,2c83e501f034,mixed-forest,correlated,0.3,0
campaign_b,gen_n1000_rho0.3_correlated_seed0.pcf,rac,11,969794.0,32058.5,14080.0,1000,273,727,862,861,agreed,2c83e501f034,mixed-forest,correlated,0.3,0
campaign_b,gen_n1000_rho0.3_correlated_seed1.pcf,dhpac,11,388757.0,12399.5,13920.0,1000,272,728,843,842,agreed,2c83e501f034,mixed-forest,correlated,0.3,1
campaign_b,gen_n1000_rho0.3_correlated_seed1.pcf,dpac,11,2214304.0,13542.0,13920.0,1000,272,728,843,842,agreed,2c83e501f034,mixed-forest,correlated,0.3,1
campaign_b,gen_n1000_rho0.3_correlated_seed1.pcf,hpac,11,304255.0,5723.0,14080.0,1000,272,728,843,842,agreed,2c83e501f034,mixed-forest,correlated,0.3,1
campaign_b,gen_n1000_rho0.3_correlated_seed1.pcf,pac,11,2011304.0,27572.0,14080.0,1000,272,728,843,842,agreed,2c83e501f034,mixed-forest,correlated,0.3,1
campaign_b,gen_n1000_rho0.3_correlated_seed1.pcf,rac,11,891756.0,21136.5,14080.0,1000,272,728,843,842,agreed,2c83e501f034,mixed-forest,correlated,0.3,1
campaign_b,gen_n1000_rho0.3_correlated_seed2.pcf,dhpac,11,397086.0,8051.5,13920.0,1000,277,723,832,831,agreed,2c83e501f034,mixed-forest,correlated,0.3,2
campaign_b,gen_n1000_rho0.3_correlated_seed2.pcf,dpac,11,2216638.0,17611.0,13920.0,1000,277,723,832,831,agreed,2c83e501f034,mixed-forest,correlated,0.3,2
campaign_b,gen_n1000_rho0.3_correlated_seed2.pcf,hpac,11,312755.0,5546.0,14240.0,1000,277,723,832,831,agreed,2c83e501f034,mixed-forest,correlated,0.3,2
campaign_b,gen_n1000_rho0.3_correlated_seed2.pcf,pac,11,1979109.0,19609.5,14240.0,1000,277,723,832,831,agreed,2c83e501f034,mixed-forest,correlated,0.3,2
campaign_b,gen_n1000_rho0.3_correlated_seed2.pcf,rac,11,983095.0,28900.0,14240.0,1000,277,723,832,831,agreed,2c83e501f034,mixed-forest,correlated,0.3,2
campaign_b,gen_n1000_rho0.3_correlated_seed3.pcf,dhpac,11,385224.0,5926.5,14080.0,1000,280,720,845,844,agreed,2c83e501f034,mixed-forest,correlated,0.3,3
campaign_b,gen_n1000_rho0.3_correlated_seed3.pcf,dpac,11,2212441.0,25852.0,14080.0,1000,280,720,845,844,agreed,2c83e501f034,mixed-forest,correlated,0.3,3
campaign_b,gen_n1000_rho0.3_correlated_seed3.pcf,hpac,11,315871.0,5817.0,14240.0,1000,280,720,845,844,agreed,2c83e501f034,mixed-forest,correlated,0.3,3
campaign_b,gen_n1000_rho0.3_correlated_seed3.pcf,pac,11,2028594.0,24366.0,14240.0,1000,280,720,845,844,agreed,2c83e501f034,mixed-forest,correlated,0.3,3
